Feature,Tree_Importance,Tree_Perm_Importance,Poisson_Importance,NegBin_Importance
Gender (Female),0.045713984422084825,0.040913211897921874,0.012593758820669865,0.030785021689370518
Marital Status,0.08905721821385253,0.03199504564156689,0.004329506363592073,0.01489871805630189
Kids under 5,0.0,0.0,0.026130469140193523,0.06182422204869708
PhD Quality,0.25383196111374845,0.1436023612898353,0.0010550066348742138,-0.0036791607283544084
Mentors,0.6113968362503142,0.40875983018031264,0.15058930761444306,0.1885000029120812
