Model,MAE,RMSE,Top_Feature,Top_Feature_Importance
Poisson,1.3338122872078335,1.8551307221392663,Mentors,0.6113968362503142
Negative Binomial,1.3433758305574155,1.8693176728220495,Mentors,0.6113968362503142
ZIP,,,Mentors,0.6113968362503142
CORE Tree,1.3174684380828896,1.866215347503482,Mentors,0.6113968362503142
