Model,MAE,MSE,RMSE,LogLikelihood,AIC,BIC
Poisson,1.3338122872078335,3.4415099962249562,1.8551307221392666,-1485.3964676458172,2982.7929352916344,3011.074315483394
Negative Binomial,1.3433758305574157,3.494348561924844,1.8693176728220497,-1404.5159470165877,2823.0318940331754,2856.0268375902288
ZIP,,,,,,
CORE Tree,1.3174684380828896,3.482759723257542,1.866215347503482,,,
